in_time,oil_temps,intake_temps,coolant_temps,rpms,speeds,throttle_pos
01-12-2023 14-14-32,193,96,171,5384,68,75
01-12-2023 14-14-33,224,110,173,2356,95,51
01-12-2023 14-14-34,197,108,218,8992,83,67
01-12-2023 14-14-35,211,96,180,2210,123,60
01-12-2023 14-14-36,189,96,191,5932,68,81
01-12-2023 14-14-37,190,97,207,1164,112,83
01-12-2023 14-14-38,221,102,218,3766,81,78
01-12-2023 14-14-39,216,105,195,5393,130,18
01-12-2023 14-14-40,213,113,191,7958,33,63
01-12-2023 14-14-41,220,97,208,1492,124,16
01-12-2023 14-14-42,206,107,171,1573,55,48
01-12-2023 14-14-43,228,113,193,4508,31,88
01-12-2023 14-14-44,219,103,184,8705,92,25
01-12-2023 14-14-45,208,104,187,3754,98,47
01-12-2023 14-14-46,220,105,177,4475,61,31
01-12-2023 14-14-47,213,113,219,4033,126,30
01-12-2023 14-14-48,227,106,192,8665,107,10
01-12-2023 14-14-49,225,100,214,3505,135,19
01-12-2023 14-14-50,180,104,208,6250,76,13
01-12-2023 14-14-51,211,104,180,3752,110,62
01-12-2023 14-14-52,214,107,196,9416,105,58
01-12-2023 14-14-53,188,104,197,8641,122,11
01-12-2023 14-14-54,225,104,172,3267,93,75
01-12-2023 14-14-55,213,108,191,7589,55,15
01-12-2023 14-14-56,220,103,180,3322,117,88
01-12-2023 14-14-57,219,110,181,1526,112,80
